time x y z G
0,011 -0,1329 0,35962 0,93814 1,0134572581
0,014 -0,12899 0,34594 0,94205 1,0118157472
0,025 -0,12508 0,33812 0,95377 1,019630989
0,035 -0,12704 0,33617 0,96354 1,0283767608
0,044 -0,12118 0,32639 0,96354 1,0245117647
0,055 -0,11531 0,31076 0,9655 1,0208126291
0,065 -0,09186 0,29317 0,99286 1,0393064457
0,074 -0,08404 0,29121 0,98113 1,0268797703
0,085 -0,08404 0,28535 0,97723 1,021501746
0,099 -0,08209 0,28926 0,97332 1,0187060116
0,106 -0,07622 0,2873 0,94205 0,9878304414
0,115 -0,07818 0,28535 0,93814 0,9836886675
0,134 -0,08209 0,29317 0,94205 0,9900230399
0,146 -0,08404 0,30099 0,944 0,9943810646
0,148 -0,0899 0,31467 0,94791 1,0028123389
0,161 -0,09381 0,3088 0,94595 0,999489449
0,164 -0,09186 0,30685 0,94595 0,998707457
0,174 -0,09186 0,30685 0,94986 1,0024116927
0,185 -0,09577 0,3088 0,95182 1,0052316376
0,195 -0,086 0,30294 0,95182 1,0025616969
0,22 -0,09186 0,30685 0,94986 1,0024116927
0,22 -0,09772 0,3088 0,96159 1,0146733299
0,232 -0,08795 0,30294 0,9655 1,0157254039
0,235 -0,08013 0,29708 0,96159 1,0096200629
0,245 -0,07622 0,28926 0,96159 1,0070432782
0,256 -0,07622 0,29121 0,97332 1,0188054647
0,265 -0,07231 0,29121 0,97527 1,0203840322
0,275 -0,07036 0,2873 0,97332 1,0172726488
0,285 -0,07036 0,2873 0,98113 1,0247477233
0,302 -0,07427 0,2873 0,99091 1,0343886847
0,306 -0,07036 0,28535 0,98309 1,026080455
0,315 -0,06645 0,27753 0,96745 1,0086614922
0,325 -0,06841 0,28144 0,96159 1,0042627793
0,334 -0,07036 0,2873 0,96354 1,0079192186
0,345 -0,06645 0,27558 0,9655 1,0062555286
0,355 -0,0645 0,27362 0,95964 0,9999685415
0,364 -0,0645 0,27949 0,95377 0,9959679327
0,382 -0,0645 0,2834 0,96159 1,0045551942
0,385 -0,07036 0,29512 0,96941 1,0157765956
0,395 -0,06841 0,29317 0,96354 1,0094740752
0,405 -0,06841 0,28535 0,96159 1,0053655448
0,414 -0,06645 0,28144 0,96354 1,0059987116
0,425 -0,06059 0,27753 0,98504 1,0251818622
0,435 -0,06254 0,27558 0,99091 1,0304165255
0,445 -0,05668 0,27362 0,98895 1,0276685406
0,454 -0,05277 0,27167 0,98504 1,0231779236
0,464 -0,043 0,26971 0,96941 1,0071485651
0,482 -0,04886 0,26776 0,9655 1,0031315802
0,485 -0,05082 0,2619 0,9655 1,0016808536
