time x y z G
0,003 -0,11727 0,45343 0,94595 1,055543661
0,018 -0,11336 0,4593 0,95182 1,0629055894
0,019 -0,11531 0,46125 0,94009 1,0534786029
0,029 -0,08209 0,42802 0,9225 1,0202676798
0,046 -0,06841 0,40848 0,91468 1,0040793499
0,048 -0,0645 0,40653 0,90491 0,9941272549
0,06 -0,06059 0,41043 0,90296 0,9937105688
0,068 -0,07231 0,41825 0,92836 1,0207909131
0,078 -0,08209 0,41043 0,93814 1,0272770866
0,101 -0,08795 0,41239 0,944 1,0338939571
0,102 -0,09381 0,40848 0,944 1,0328563436
0,109 -0,06645 0,37525 0,93032 1,0053474362
0,118 -0,05277 0,36939 0,93423 1,0059917186
0,128 -0,05277 0,38112 0,93814 1,0139742536
0,14 -0,07818 0,40653 0,95377 1,0397384124
0,148 -0,09381 0,40848 0,97136 1,057920827
0,159 -0,10554 0,40653 0,97136 1,0582748141
0,168 -0,10554 0,40848 0,96745 1,055440242
0,178 -0,07036 0,3948 0,95768 1,0382526436
0,201 -0,09381 0,41825 0,93814 1,0314262156
0,202 -0,07818 0,39871 0,93032 1,0151734231
0,209 -0,05472 0,37916 0,9225 0,9988807907
0,218 -0,03518 0,36939 0,91273 0,9852728847
0,229 -0,02736 0,38698 0,91664 0,9953547004
0,241 -0,02932 0,38894 0,9225 1,0015688873
0,248 -0,043 0,3948 0,93423 1,0151363125
0,258 -0,0645 0,39871 0,95768 1,0393656221
0,268 -0,08795 0,39675 0,99872 1,0782334642
0,278 -0,086 0,39284 0,99286 1,0712097111
0,306 -0,07231 0,38307 0,97723 1,0521168347
0,308 -0,04886 0,3733 0,95964 1,0308487373
0,309 0,00782 0,36157 0,89905 0,96906394
0,326 0,01954 0,35376 0,89905 0,96634303
0,344 0,01173 0,34985 0,91664 0,9812041098
0,345 0,00195 0,35962 0,93618 1,0028775296
0,357 -0,01759 0,37721 0,94791 1,0203578589
0,372 -0,02736 0,36939 0,95768 1,0268147467
