time x y z G
0,003 -0,09577 0,29903 0,92641 0,9781749955
0,019 -0,06254 0,25994 0,93618 0,9736082619
0,02 -0,04691 0,23844 0,94595 0,9766655437
0,03 -0,05668 0,23453 0,95964 0,9895078943
0,039 -0,06645 0,23649 0,97136 1,0019398047
0,049 -0,06645 0,23453 0,97723 1,0071734688
0,066 -0,06841 0,23649 0,98113 1,0115451177
0,075 -0,06645 0,23649 0,98309 1,013315879
0,082 -0,06254 0,23649 0,987 1,0168617269
0,089 -0,05277 0,23649 0,98113 1,0106078715
0,102 -0,05863 0,24431 0,97527 1,0071129162
0,111 -0,06059 0,25017 0,97332 1,0067810087
0,124 -0,05863 0,25212 0,96941 1,0033731706
0,132 -0,04495 0,24822 0,96159 0,9941272549
0,139 -0,043 0,25017 0,94986 0,983192783
0,156 -0,04495 0,24822 0,94986 0,9827856788
0,162 -0,04691 0,25017 0,95377 0,9871488185
0,169 -0,05668 0,25212 0,94595 0,9806112988
0,179 -0,06059 0,25408 0,94986 0,9851202029
0,189 -0,05863 0,25212 0,94986 0,9844978369
0,199 -0,05863 0,25408 0,95377 0,9887726413
0,209 -0,05668 0,24822 0,95964 0,9928417399
0,219 -0,05472 0,24235 0,96354 0,9950563464
0,239 -0,05277 0,24431 0,96159 0,9935428411
0,24 -0,05277 0,24822 0,95768 0,9907314589
0,249 -0,05863 0,24822 0,96941 1,0024003159
0,263 -0,05863 0,24822 0,97332 1,0061821245
0,269 -0,06254 0,24626 0,98113 1,0134946059
0,279 -0,06059 0,24626 0,987 1,0190604181
0,289 -0,06059 0,24431 0,97918 1,0110153296
0,299 -0,05668 0,24235 0,97918 1,0103165926
0,313 -0,05668 0,24431 0,97918 1,0107885392
0,319 -0,05668 0,24431 0,97136 1,0032149561
0,329 -0,05863 0,24431 0,96941 1,0014392648
0,339 -0,05472 0,24822 0,97136 1,0040655837
0,356 -0,04886 0,24822 0,96159 0,9943117198
0,359 -0,04691 0,24822 0,95964 0,9923319234
0,37 -0,04691 0,25017 0,95768 0,9909271211
0,379 -0,05082 0,25408 0,94986 0,9845675896
0,389 -0,05082 0,25017 0,95573 0,9892358335
0,399 -0,05082 0,25017 0,96159 0,9948985021
0,412 -0,05863 0,25212 0,95964 0,9939370709
0,419 -0,06254 0,25408 0,97136 1,0059861568
0,43 -0,06645 0,25408 0,97527 1,0100117929
0,439 -0,06059 0,24822 0,97527 1,0081844521
0,456 -0,05277 0,2404 0,96745 0,9982666655
0,461 -0,05472 0,24235 0,97136 1,0026305653
0,469 -0,05668 0,24431 0,97723 1,008899634
0,479 -0,05863 0,24431 0,97527 1,0071129162
0,489 -0,05472 0,23258 0,97332 1,0022173203
0,5 -0,05863 0,23063 0,97918 1,0076810737
0,514 -0,05277 0,23258 0,98309 1,0116047041
0,519 -0,04886 0,23649 0,98504 1,0142083717
0,529 -0,05082 0,24235 0,97723 1,0081144121
0,539 -0,05277 0,24431 0,97723 1,0086875244
0,556 -0,05472 0,24235 0,97332 1,0045295532
0,559 -0,05668 0,23649 0,98309 1,0127221191
0,57 -0,06645 0,2404 0,98895 1,0199165971
0,579 -0,06645 0,24431 0,987 1,0189563183
0,589 -0,06254 0,24235 0,98309 1,0144509462
0,599 -0,05277 0,2404 0,97527 1,0058471086
0,611 -0,03518 0,24235 0,95964 0,9903939037
0,619 -0,03518 0,24431 0,96159 0,9927639884
0,629 -0,03518 0,24431 0,95573 0,9870890747
0,639 -0,03323 0,2404 0,95377 0,9841613718
0,656 -0,03518 0,23649 0,96159 0,9908685486
0,668 -0,03518 0,23258 0,95768 0,9861450559
0,679 -0,04104 0,23063 0,95964 0,9878174974
0,68 -0,04691 0,23258 0,9655 0,9942254546
0,689 -0,04886 0,23649 0,97527 1,0047220474
0,699 -0,04691 0,22867 0,98113 1,0085170271
0,711 -0,04691 0,22867 0,98309 1,0104239037
0,719 -0,04886 0,22867 0,987 1,0143205945
0,729 -0,05082 0,22867 0,98895 1,0163142938
0,739 -0,05082 0,22867 0,987 1,0144168972
0,756 -0,05082 0,23453 0,98309 1,0119550096
0,761 -0,04886 0,23453 0,97723 1,0061660367
0,769 -0,05472 0,24626 0,95768 0,9903480441
0,78 -0,05863 0,24235 0,944 0,9763744156
0,789 -0,05668 0,24235 0,95964 0,9913904753
0,8 -0,05277 0,24431 0,95768 0,9897590775
0,812 -0,04495 0,23453 0,96745 0,9964859888
0,819 -0,04104 0,23258 0,97136 0,9996589356
0,829 -0,043 0,23063 0,97527 1,003090609
0,839 -0,04691 0,23649 0,98113 1,0103188334
0,856 -0,0645 0,2404 0,98309 1,0141096381
0,868 -0,0645 0,2404 0,98113 1,012209705
0,87 -0,05472 0,23844 0,97527 1,0054847015
0,88 -0,05082 0,23453 0,97136 1,0005634627
0,889 -0,05082 0,23453 0,96941 0,9986704869
0,899 -0,04886 0,23258 0,97918 1,0076081721
0,911 -0,04886 0,23453 0,98113 1,0099543046
0,919 -0,05277 0,23453 0,98113 1,0101510138
0,929 -0,05082 0,23063 0,98113 1,0091525882
0,939 -0,05277 0,23258 0,98504 1,0134998426
0,95 -0,05277 0,22867 0,98113 1,0088065814
0,964 -0,04691 0,22476 0,97918 1,0057390706
0,969 -0,04104 0,22867 0,96941 0,9968600697
0,979 -0,04495 0,23453 0,9655 0,9945929184
0,989 -0,05082 0,23258 0,95768 0,9868267889
0,999 -0,05668 0,23258 0,95768 0,9871459169
1,011 -0,06645 0,22672 0,9655 0,9939858203
1,019 -0,07231 0,23063 0,97136 1,000979112
1,03 -0,07231 0,22867 0,97723 1,0062291876
1,039 -0,06841 0,22867 0,97723 1,0059564453
1,057 -0,06059 0,22476 0,98113 1,0083671368
1,07 -0,05863 0,22867 0,98504 1,0129320053
1,071 -0,05472 0,23063 0,97723 1,005565984
1,082 -0,05082 0,22867 0,97332 1,001111614
1,089 -0,04495 0,22672 0,97136 0,9984802004
1,099 -0,04886 0,23063 0,96745 0,9957595086
1,112 -0,04691 0,23063 0,96941 0,9975702948
1,119 -0,05277 0,22867 0,96745 0,9955069785
1,129 -0,05472 0,22867 0,97136 0,9994120756
1,139 -0,04886 0,22672 0,96941 0,9967672778
1,15 -0,05082 0,22672 0,97136 0,9987616735
1,164 -0,05082 0,22672 0,97136 0,9987616735
1,169 -0,04886 0,22672 0,96941 0,9967672778
1,179 -0,04691 0,22476 0,96941 0,9962295688
1,189 -0,04691 0,22281 0,96941 0,9957914402
1,199 -0,04691 0,22281 0,97332 0,9995982526
1,211 -0,05277 0,22281 0,97918 1,0055955655
1,219 -0,05277 0,23063 0,97527 1,0035568956
1,23 -0,05472 0,22672 0,97332 1,000873648
1,239 -0,05668 0,22867 0,96745 0,9957218958
1,257 -0,05863 0,23258 0,96354 0,9929452477
1,271 -0,06254 0,22867 0,97136 0,9998707267
1,272 -0,05668 0,22867 0,97918 1,0071226657
1,283 -0,05863 0,23063 0,97527 1,003882088
1,289 -0,05668 0,23063 0,97332 1,001875562
1,299 -0,05277 0,22672 0,97918 1,006469127
1,312 -0,05472 0,22672 0,97918 1,0065732508
1,319 -0,05472 0,22867 0,97527 1,0032127492
1,329 -0,05472 0,22867 0,96941 0,9975169148
1,339 -0,05277 0,23063 0,95964 0,9883743215
1,351 -0,05277 0,22867 0,95964 0,9879188081
1,368 -0,05277 0,23063 0,9655 0,9940649475
1,37 -0,05472 0,23258 0,97723 1,0060150137
1,379 -0,05472 0,23258 0,97918 1,0079093249
1,389 -0,05277 0,23453 0,97918 1,0082571429
1,399 -0,05082 0,23258 0,97332 1,0020119516
1,413 -0,04886 0,22476 0,96354 0,9906127845
1,419 -0,04691 0,22476 0,96159 0,9886217344
1,429 -0,04886 0,22867 0,96354 0,9915072365
1,439 -0,05277 0,23063 0,95964 0,9883743215
1,45 -0,05472 0,22867 0,97332 1,0013171674
1,461 -0,05863 0,22867 0,97136 0,9996337806
1,469 -0,05863 0,22672 0,98113 1,0086899981
1,479 -0,06254 0,22476 0,987 1,0141978649
1,489 -0,0645 0,22672 0,98895 1,0166534861
1,499 -0,06059 0,22867 0,987 1,0149532585
1,511 -0,05472 0,22672 0,97918 1,0065732508
1,519 -0,04886 0,22867 0,96354 0,9915072365
1,529 -0,043 0,23258 0,95182 0,9807669289
1,539 -0,04104 0,23453 0,95573 0,9849408284
1,55 -0,04104 0,23063 0,95768 0,9859135159
1,561 -0,043 0,22672 0,96354 0,9907877119
1,57 -0,04691 0,22672 0,97136 0,9985703561
1,579 -0,04886 0,22672 0,97136 0,9986638612
1,589 -0,05277 0,23063 0,96941 0,9978630256
1,599 -0,05277 0,22867 0,9655 0,9936120429
1,611 -0,05082 0,22476 0,9655 0,9926177411
1,619 -0,04495 0,22085 0,9655 0,9914562396
1,63 -0,04886 0,22085 0,97136 0,9973476183
1,639 -0,05277 0,22281 0,97918 1,0055955655
1,651 -0,05863 0,22085 0,98504 1,0111953328
1,67 -0,05863 0,21694 0,98895 1,0141610045
1,67 -0,05863 0,22085 0,99286 1,018814595
1,68 -0,05472 0,22281 0,98895 1,0152145965
1,69 -0,06059 0,22476 0,987 1,0140794869
1,7 -0,06254 0,22476 0,97723 1,0046923818
1,713 -0,06254 0,22476 0,97332 1,00088967
1,719 -0,0645 0,22672 0,97527 1,0033512751
1,729 -0,06059 0,22672 0,97332 1,0012117303
1,739 -0,05863 0,22672 0,97918 1,0067933789
1,755 -0,06059 0,22476 0,98113 1,0083671368
1,76 -0,06254 0,22281 0,97918 1,0061555646
1,769 -0,06254 0,22085 0,97723 1,0038249085
1,78 -0,04886 0,22085 0,97723 1,0030655487
1,789 -0,05277 0,22085 0,97723 1,0032636086
1,799 -0,05277 0,21694 0,98504 1,0100254641
1,812 -0,05277 0,21694 0,97918 1,004311261
1,819 -0,04886 0,2189 0,97136 0,9969176291
1,829 -0,04886 0,2189 0,96941 0,9950177173
1,839 -0,05082 0,22476 0,97136 0,9983185762
1,849 -0,05082 0,2189 0,97527 1,000825387
1,863 -0,05082 0,21499 0,97723 1,0018891383
1,869 -0,05082 0,2189 0,97332 0,9989252749
1,879 -0,05277 0,22085 0,96745 0,9937398542
1,889 -0,04886 0,22281 0,96159 0,9882747208
1,899 -0,05668 0,22867 0,95573 0,9843385719
1,909 -0,05277 0,22281 0,95573 0,9827760691
1,919 -0,05277 0,22085 0,95964 0,9861380862
1,931 -0,06059 0,22085 0,96745 0,994185784
1,939 -0,06059 0,2189 0,98113 1,0070771743
1,95 -0,06254 0,2189 0,98113 1,0071963753
1,961 -0,06254 0,22085 0,98504 1,0114295703
1,969 -0,06059 0,22085 0,98504 1,0113108682
1,98 -0,05472 0,22085 0,97918 1,0052673641
1,989 -0,05082 0,22085 0,97527 1,001253698
1,999 -0,05277 0,22281 0,96941 0,9960846937
2,012 -0,05472 0,22085 0,97527 1,0014592222
2,019 -0,05472 0,2189 0,98309 1,0086512958
2,029 -0,05472 0,2189 0,99091 1,0162746265
2,039 -0,05277 0,22085 0,98309 1,0089724196
2,05 -0,05277 0,22476 0,98113 1,0079274812
2,061 -0,05082 0,22476 0,97332 1,0002257507
2,07 -0,05082 0,22476 0,96941 0,9964213356
2,08 -0,05082 0,22476 0,96745 0,9945145713
2,089 -0,04886 0,22281 0,96941 0,9958852061
2,099 -0,05082 0,22476 0,97527 1,002123397
2,112 -0,05668 0,22281 0,98309 1,0096152072
2,119 -0,05668 0,22085 0,987 1,0129937536
2,13 -0,06254 0,22085 0,98309 1,0095305455
2,139 -0,06841 0,2189 0,98504 1,0113856533
2,152 -0,06841 0,22085 0,97918 1,0061054234
2,161 -0,06645 0,22476 0,97527 1,0030375033
2,169 -0,06254 0,22476 0,97136 0,998983763
2,18 -0,06059 0,22476 0,96745 0,9950616605
2,189 -0,05863 0,22672 0,96159 0,9896942777
2,199 -0,05472 0,22476 0,96159 0,9890230857
2,213 -0,05472 0,22476 0,96745 0,9947214879
2,219 -0,05277 0,22281 0,96941 0,9960846937
2,23 -0,05277 0,22085 0,97136 0,9975468134
2,239 -0,05668 0,22085 0,97332 0,999669529
2,253 -0,06059 0,22085 0,97527 1,001797107
2,27 -0,06254 0,22672 0,97136 0,9994265654
2,271 -0,06059 0,22281 0,97136 0,9984266091
2,282 -0,05472 0,22476 0,96941 0,9966278564
2,289 -0,05082 0,22476 0,97136 0,9983185762
2,299 -0,04691 0,21499 0,97527 0,9997863877
2,312 -0,04495 0,21499 0,97332 0,9977940795
2,319 -0,05082 0,21694 0,96941 0,9946865758
2,329 -0,05082 0,22281 0,96941 0,9959832913
2,339 -0,05472 0,22476 0,95573 0,983326583
2,35 -0,05863 0,22672 0,95573 0,9840016607
2,361 -0,06059 0,22672 0,96354 0,9917068307
2,37 -0,0645 0,22281 0,97527 1,0024749967
2,379 -0,06841 0,22281 0,99286 1,0198505792
2,389 -0,0645 0,22476 0,99091 1,0181256974
2,399 -0,06254 0,22281 0,987 1,0137675018
