time;exp1_x;exp1_gir;exp2_x;exp2_gir;exp3_x;exp3_gir;exp4_x;exp4_gir;;
0.001;0,01;0,05;-0,01;0,01;0,00;0,02;0,17;0,19;;
0.002;0,01;0,05;-0,01;0,01;-0,01;0,01;0,13;0,30;;
0.055;0,03;0,05;-0,01;0,01;-0,01;0,01;0,13;0,30;;
0.062;0,03;0,05;-0,01;0,01;-0,01;0,01;-0,20;0,22;;
0.096;-0,04;0,06;-0,01;0,01;-0,01;0,01;-0,20;0,22;;
0.118;-0,04;0,06;0,00;0,01;-0,01;0,01;-0,20;0,22;;
0.15;0,06;0,07;0,00;0,01;-0,01;0,05;0,15;0,24;;
0.188;0,06;0,07;0,00;0,01;-0,01;0,05;0,15;0,24;;
0.196;0,06;0,07;0,00;0,01;-0,03;0,04;-0,14;0,19;;
0.25;-0,04;0,05;0,00;0,03;-0,03;0,04;-0,14;0,19;;
0.264;-0,04;0,05;0,00;0,03;-0,03;0,04;-0,01;0,11;;
0.296;0,00;0,06;0,00;0,03;0,01;0,02;-0,01;0,11;;
0.333;0,00;0,06;0,00;0,03;0,01;0,02;-0,01;0,11;;
0.346;0,00;0,06;0,00;0,03;-0,01;0,01;0,03;0,19;;
0.396;-0,03;0,04;0,03;0,07;-0,01;0,01;0,03;0,19;;
0.399;-0,03;0,04;0,03;0,07;-0,01;0,01;-0,09;0,15;;
0.449;0,00;0,04;0,03;0,07;-0,01;0,01;-0,09;0,15;;
0.468;0,00;0,04;0,03;0,07;-0,01;0,01;-0,09;0,15;;
0.496;0,01;0,01;0,06;0,35;0,01;0,01;-0,04;0,11;;
0.538;0,01;0,01;0,06;0,35;0,01;0,01;-0,04;0,11;;
0.546;0,01;0,01;0,06;0,35;0,00;0,11;0,01;0,19;;
0.596;0,03;0,05;-0,56;0,93;0,00;0,11;0,01;0,19;;
0.609;0,03;0,05;-0,56;0,93;0,00;0,11;-0,09;0,26;;
0.653;0,07;0,07;-0,56;0,93;-0,05;0,10;-0,09;0,26;;
0.679;0,07;0,07;0,71;0,92;-0,05;0,10;-0,09;0,26;;
0.696;0,07;0,07;0,71;0,92;0,32;0,41;0,06;0,21;;
0.748;0,08;0,17;1,11;1,33;0,32;0,41;0,06;0,21;;
0.75;0,08;0,17;1,11;1,33;0,32;0,41;0,81;0,99;;
0.796;-0,73;0,80;1,11;1,33;-0,65;0,72;0,81;0,99;;
0.818;-0,73;0,80;0,07;0,44;-0,65;0,72;0,81;0,99;;
0.848;-0,73;0,80;0,07;0,44;0,15;0,40;0,58;0,75;;
0.888;-1,65;1,73;0,70;0,73;0,15;0,40;0,58;0,75;;
0.896;-1,65;1,73;0,70;0,73;1,55;1,59;0,34;0,46;;
0.946;2,36;2,44;1,26;1,28;1,55;1,59;0,34;0,46;;
0.958;2,36;2,44;1,26;1,28;1,55;1,59;0,89;0,96;;
0.996;1,00;1,10;1,26;1,28;0,29;0,59;0,89;0,96;;
1.043;1,00;1,10;0,18;0,50;0,29;0,59;0,89;0,96;;
1.046;1,00;1,10;0,18;0,50;0,11;0,21;0,71;0,96;;
1.096;-1,38;1,44;0,19;0,43;0,11;0,21;0,71;0,96;;
1.1;-1,38;1,44;0,19;0,43;0,11;0,21;0,18;0,43;;
1.146;1,35;1,48;0,19;0,43;1,46;1,48;0,18;0,43;;
1.167;1,35;1,48;0,79;1,01;1,46;1,48;0,18;0,43;;
1.196;1,35;1,48;0,79;1,01;0,60;0,73;0,42;0,69;;
1.245;2,00;2,06;-0,10;0,61;0,60;0,73;0,42;0,69;;
1.246;2,00;2,06;-0,10;0,61;-0,29;0,38;0,33;0,53;;
1.296;-1,04;1,06;-0,58;0,90;-0,29;0,38;0,33;0,53;;
1.31;-1,04;1,06;-0,58;0,90;-0,29;0,38;-0,31;0,53;;
1.356;-0,57;0,68;-0,58;0,90;0,74;0,92;-0,31;0,53;;
1.378;-0,57;0,68;-0,08;0,93;0,74;0,92;-0,31;0,53;;
1.396;-0,57;0,68;-0,08;0,93;0,39;0,54;-0,32;0,65;;
1.446;1,75;1,81;-0,36;0,93;0,39;0,54;-0,32;0,65;;
1.449;1,75;1,81;-0,36;0,93;0,39;0,54;-0,26;0,63;;
1.496;-0,10;0,21;-0,36;0,93;-0,86;0,96;-0,26;0,63;;
1.517;-0,10;0,21;-1,04;1,31;-0,86;0,96;-0,26;0,63;;
1.547;-0,10;0,21;-1,04;1,31;-0,86;0,96;-0,73;0,79;;
1.588;-1,51;1,53;-0,49;0,93;-0,86;0,96;-0,73;0,79;;
1.596;-1,51;1,53;-0,49;0,93;-0,27;0,51;-0,75;0,80;;
1.646;0,48;0,50;-0,50;0,97;-0,27;0,51;-0,75;0,80;;
1.659;0,48;0,50;-0,50;0,97;-0,27;0,51;-0,51;0,73;;
1.696;0,29;0,30;-0,50;0,97;-0,27;0,51;-0,51;0,73;;
1.732;0,29;0,30;-0,98;1,17;-0,27;0,51;-0,51;0,73;;
1.751;0,29;0,30;-0,98;1,17;-0,03;0,63;-0,77;0,79;;
1.796;-1,91;1,97;-0,43;0,76;-0,03;0,63;-0,77;0,79;;
1.799;-1,91;1,97;-0,43;0,76;-0,03;0,63;-0,65;0,68;;
1.846;-0,57;0,63;-0,43;0,76;-0,03;0,63;-0,65;0,68;;
1.868;-0,57;0,63;-0,10;0,54;-1,13;1,19;-0,65;0,68;;
1.896;-0,57;0,63;-0,10;0,54;-1,13;1,19;-0,18;0,23;;
1.946;0,43;0,45;-0,42;0,60;-1,13;1,19;-0,18;0,23;;
1.948;0,43;0,45;-0,42;0,60;-1,13;1,19;-0,25;0,36;;
1.996;-1,32;1,37;0,04;0,25;-1,13;1,19;-0,25;0,36;;
2.009;-1,32;1,37;0,04;0,25;-0,81;0,91;-0,14;0,33;;
2.057;-0,97;1,05;0,04;0,25;-0,81;0,91;-0,14;0,33;;
2.078;-0,97;1,05;0,60;0,61;-0,81;0,91;-0,14;0,33;;
