time;x;y;z;gx;gy;gz;barometer
0.001;-0,02;1,08;0,06;-0,01;0,60;0,06;0,00
0.002;-0,03;1,07;0,17;-0,01;0,60;0,06;0,00
0.055;-0,04;1,08;0,17;-0,01;0,60;0,06;0,00
0.062;-0,04;1,08;0,17;0,05;-0,03;-0,06;0,00
0.096;-0,04;1,08;0,11;0,05;-0,03;-0,06;0,00
0.118;-0,04;1,08;0,11;0,03;0,00;-0,03;0,00
0.15;-0,04;1,08;0,13;0,03;0,00;-0,03;0,00
0.188;-0,04;1,08;0,13;0,02;0,00;0,00;0,00
0.196;-0,03;1,08;0,12;0,02;0,00;0,00;0,00
0.25;-0,03;1,08;0,12;0,02;0,00;0,00;0,00
0.264;-0,03;1,08;0,12;0,02;0,02;0,02;0,00
0.296;-0,04;1,08;0,11;0,02;0,02;0,02;0,00
0.333;-0,04;1,08;0,11;0,06;0,02;0,03;0,00
0.346;-0,03;1,08;0,13;0,06;0,02;0,03;0,00
0.396;-0,03;1,08;0,12;0,06;0,02;0,03;0,00
0.399;-0,03;1,08;0,12;0,08;-0,04;0,10;0,00
0.449;-0,02;1,08;0,10;0,08;-0,04;0,10;0,00
0.468;-0,02;1,08;0,10;0,14;-0,08;0,11;0,00
0.496;-0,02;1,08;0,09;0,14;-0,08;0,11;0,00
0.538;-0,02;1,08;0,09;0,10;0,06;0,05;0,00
0.546;-0,02;1,08;0,11;0,10;0,06;0,05;0,00
0.596;-0,01;1,09;0,09;0,10;0,06;0,05;0,00
0.609;-0,01;1,09;0,09;0,15;0,09;0,05;0,00
0.653;-0,01;1,09;0,11;0,15;0,09;0,05;0,00
0.679;-0,01;1,09;0,11;0,19;-0,10;0,08;0,00
0.696;-0,01;1,08;0,04;0,19;-0,10;0,08;0,00
0.748;-0,00;1,08;0,05;0,19;-0,10;0,08;0,00
0.75;-0,00;1,08;0,05;0,14;0,17;0,04;0,00
0.796;-0,00;1,08;0,05;0,14;0,17;0,04;0,00
0.818;-0,00;1,08;0,05;0,26;0,10;0,09;0,00
0.848;-0,00;1,09;0,06;0,26;0,10;0,09;0,00
0.888;-0,00;1,09;0,06;0,21;0,01;0,05;0,00
0.896;0,00;1,09;0,05;0,21;0,01;0,05;0,00
0.946;0,01;1,09;0,07;0,21;0,01;0,05;0,00
0.958;0,01;1,09;0,07;-0,04;-0,12;0,02;0,00
0.996;0,01;1,09;0,05;-0,04;-0,12;0,02;0,00
1.043;0,01;1,09;0,05;-0,14;-0,18;0,01;0,00
1.046;0,01;1,09;0,04;-0,14;-0,18;0,01;0,00
1.096;0,01;1,09;0,04;-0,14;-0,18;0,01;0,00
1.1;0,01;1,09;0,04;-0,04;-0,19;0,04;0,00
1.146;0,01;1,08;0,02;-0,04;-0,19;0,04;0,00
1.167;0,01;1,08;0,02;-0,04;-0,10;0,00;0,00
1.196;0,00;1,08;0,02;-0,04;-0,10;0,00;0,00
1.245;0,00;1,08;0,02;0,06;0,11;0,00;0,00
1.246;0,01;1,09;0,05;0,06;0,11;0,00;0,00
1.296;0,01;1,09;0,05;0,06;0,11;0,00;0,00
1.31;0,01;1,09;0,05;0,07;0,02;0,09;0,00
1.356;0,01;1,09;0,05;0,07;0,02;0,09;0,00
1.378;0,01;1,09;0,05;0,04;-0,05;0,04;0,00
1.396;0,03;1,09;0,04;0,04;-0,05;0,04;0,00
1.446;0,03;1,09;0,03;0,04;-0,05;0,04;0,00
1.449;0,03;1,09;0,03;-0,04;-0,13;0,05;0,00
1.496;0,02;1,09;0,03;-0,04;-0,13;0,05;0,00
1.517;0,02;1,09;0,03;0,08;0,01;0,04;0,00
1.547;0,02;1,08;0,03;0,08;0,01;0,04;0,00
1.588;0,02;1,08;0,03;0,19;-0,13;-0,05;0,00
1.596;0,02;1,09;0,04;0,19;-0,13;-0,05;0,00
1.646;0,02;1,09;0,01;0,19;-0,13;-0,05;0,00
1.659;0,02;1,09;0,01;0,04;-0,37;-0,03;0,00
1.696;0,02;1,09;-0,00;0,04;-0,37;-0,03;0,00
1.732;0,02;1,09;-0,00;0,02;-0,16;0,03;0,00
1.751;0,03;1,09;-0,01;0,02;-0,16;0,03;0,00
1.796;0,03;1,09;0,03;0,02;-0,16;0,03;0,00
1.799;0,03;1,09;0,03;0,11;0,19;0,14;0,00
1.846;0,04;1,09;0,02;0,11;0,19;0,14;0,00
1.868;0,04;1,09;0,02;0,17;0,05;0,13;0,00
1.896;0,04;1,09;0,01;0,17;0,05;0,13;0,00
1.946;0,04;1,09;0,01;-0,02;-0,01;0,09;0,00
1.948;0,04;1,08;0,00;-0,02;-0,01;0,09;0,00
1.996;0,04;1,08;-0,02;-0,02;-0,01;0,09;0,00
2.009;0,04;1,08;-0,02;-0,11;0,00;0,03;0,00
2.057;0,05;1,08;-0,04;-0,11;0,00;0,03;0,00
2.078;0,05;1,08;-0,04;-0,00;0,23;-0,02;0,00
2.096;0,06;1,09;-0,04;-0,00;0,23;-0,02;0,00
2.146;0,06;1,09;-0,04;-0,00;0,23;-0,02;0,00
2.149;0,06;1,09;-0,04;0,18;0,39;0,00;0,00
2.196;0,06;1,09;-0,00;0,18;0,39;0,00;0,00
2.218;0,06;1,09;-0,00;0,23;0,40;0,08;0,00
2.252;0,06;1,09;-0,00;0,23;0,40;0,08;0,00
2.288;0,06;1,09;-0,00;0,14;0,24;0,05;0,00
2.296;0,07;1,08;-0,04;0,14;0,24;0,05;0,00
2.346;0,08;1,09;-0,04;0,14;0,24;0,05;0,00
2.36;0,08;1,09;-0,04;-0,18;0,22;0,17;0,00
2.396;0,08;1,08;-0,03;-0,18;0,22;0,17;0,00
2.434;0,08;1,08;-0,03;0,14;0,05;0,17;0,00
2.446;0,08;1,09;-0,05;0,14;0,05;0,17;0,00
2.496;0,06;1,08;-0,05;0,14;0,05;0,17;0,00
2.499;0,06;1,08;-0,05;0,27;0,40;0,11;0,00
2.546;0,07;1,08;-0,05;0,27;0,40;0,11;0,00
2.567;0,07;1,08;-0,05;0,13;0,54;-0,16;0,00
2.596;0,09;1,09;-0,06;0,13;0,54;-0,16;0,00
2.638;0,09;1,09;-0,06;0,04;0,83;-0,04;0,00
2.651;0,11;1,10;-0,02;0,04;0,83;-0,04;0,00
2.696;0,10;1,10;-0,01;0,04;0,83;-0,04;0,00
2.708;0,10;1,10;-0,01;0,10;0,35;0,27;0,00
2.752;0,11;1,09;-0,06;0,10;0,35;0,27;0,00
2.778;0,11;1,09;-0,06;-0,19;-0,08;0,56;0,00
2.796;0,11;1,08;-0,07;-0,19;-0,08;0,56;0,00
2.851;0,14;1,08;-0,07;-0,19;-0,08;0,56;0,00
2.853;0,14;1,08;-0,07;0,16;0,36;0,53;0,00
2.93;0,17;1,08;-0,05;0,16;0,36;0,53;0,00
2.931;0,17;1,08;-0,05;0,10;0,59;0,46;0,00
2.948;0,18;1,06;0,01;0,10;0,59;0,46;0,00
2.988;0,18;1,06;0,01;0,07;-0,18;0,13;0,00
2.996;0,18;1,05;-0,03;0,07;-0,18;0,13;0,00
3.049;0,18;1,05;-0,07;0,07;-0,18;0,13;0,00
3.059;0,18;1,05;-0,07;-0,15;-0,22;-0,33;0,00
3.096;0,19;1,08;-0,05;-0,15;-0,22;-0,33;0,00
3.127;0,19;1,08;-0,05;-0,03;-0,00;-0,32;0,00
3.146;0,18;1,10;-0,04;-0,03;-0,00;-0,32;0,00
3.196;0,16;1,08;-0,07;-0,03;-0,00;-0,32;0,00
3.199;0,16;1,08;-0,07;0,14;-0,16;0,11;0,00
3.253;0,17;1,07;-0,09;0,14;-0,16;0,11;0,00
3.268;0,17;1,07;-0,09;-0,06;0,11;0,19;0,00
3.297;0,17;1,06;-0,06;-0,06;0,11;0,19;0,00
3.358;0,17;1,06;-0,06;0,02;-0,01;-0,03;0,00
3.359;0,17;1,06;-0,05;0,02;-0,01;-0,03;0,00
3.396;0,16;1,06;-0,06;0,02;-0,01;-0,03;0,00
3.409;0,16;1,06;-0,06;0,17;-0,16;-0,31;0,00
3.449;0,15;1,07;-0,07;0,17;-0,16;-0,31;0,00
3.478;0,15;1,07;-0,07;0,01;-0,13;-0,40;0,00
3.496;0,15;1,08;-0,07;0,01;-0,13;-0,40;0,00
3.557;0,15;1,10;-0,06;0,01;-0,13;-0,40;0,00
3.564;0,15;1,10;-0,06;0,05;-0,28;-0,15;0,00
3.596;0,15;1,10;-0,06;0,05;-0,28;-0,15;0,00
3.618;0,15;1,10;-0,06;0,28;-0,45;0,20;0,00
3.646;0,11;1,07;-0,10;0,28;-0,45;0,20;0,00
3.688;0,11;1,07;-0,10;0,01;-0,12;0,01;0,00
3.696;0,12;1,07;-0,11;0,01;-0,12;0,01;0,00
3.746;0,15;1,09;-0,07;0,01;-0,12;0,01;0,00
3.763;0,15;1,09;-0,07;-0,21;0,01;0,07;0,00
3.796;0,16;1,08;-0,08;-0,21;0,01;0,07;0,00
3.827;0,16;1,08;-0,08;0,15;-0,41;0,30;0,00
3.846;0,15;1,07;-0,12;0,15;-0,41;0,30;0,00
3.896;0,16;1,06;-0,13;0,15;-0,41;0,30;0,00
3.899;0,16;1,06;-0,13;0,06;0,12;0,13;0,00
3.946;0,18;1,06;-0,12;0,06;0,12;0,13;0,00
3.975;0,18;1,06;-0,12;-0,09;0,39;-0,10;0,00
3.996;0,18;1,07;-0,08;-0,09;0,39;-0,10;0,00
4.038;0,18;1,07;-0,08;0,01;-0,02;-0,11;0,00
4.046;0,17;1,07;-0,09;0,01;-0,02;-0,11;0,00
4.096;0,17;1,08;-0,12;0,01;-0,02;-0,11;0,00
4.11;0,17;1,08;-0,12;0,05;0,02;-0,01;0,00
4.146;0,16;1,07;-0,12;0,05;0,02;-0,01;0,00
4.178;0,16;1,07;-0,12;-0,04;0,12;0,11;0,00
4.196;0,17;1,07;-0,10;-0,04;0,12;0,11;0,00
4.246;0,17;1,07;-0,13;-0,04;0,12;0,11;0,00
4.249;0,17;1,07;-0,13;0,01;-0,04;0,14;0,00
4.296;0,15;1,05;-0,10;0,01;-0,04;0,14;0,00
4.318;0,15;1,05;-0,10;-0,01;-0,19;-0,15;0,00
4.346;0,17;1,08;-0,09;-0,01;-0,19;-0,15;0,00
4.388;0,17;1,08;-0,09;0,03;-0,46;-0,10;0,00
4.396;0,16;1,09;-0,11;0,03;-0,46;-0,10;0,00
4.446;0,14;1,07;-0,12;0,03;-0,46;-0,10;0,00
4.466;0,14;1,07;-0,12;-0,17;-0,11;0,01;0,00
4.496;0,14;1,07;-0,10;-0,17;-0,11;0,01;0,00
4.528;0,14;1,07;-0,10;-0,07;-0,04;-0,02;0,00
4.546;0,14;1,08;-0,10;-0,07;-0,04;-0,02;0,00
4.596;0,15;1,08;-0,09;-0,07;-0,04;-0,02;0,00
4.599;0,15;1,08;-0,09;0,30;-0,00;-0,07;0,00
4.646;0,17;1,09;-0,08;0,30;-0,00;-0,07;0,00
4.674;0,17;1,09;-0,08;0,36;0,50;0,08;0,00
4.696;0,15;1,06;-0,10;0,36;0,50;0,08;0,00
4.738;0,15;1,06;-0,10;-0,14;0,71;-0,13;0,00
4.746;0,15;1,06;-0,09;-0,14;0,71;-0,13;0,00
4.796;0,14;1,07;-0,10;-0,14;0,71;-0,13;0,00
4.808;0,14;1,07;-0,10;-0,30;0,44;-0,16;0,00
4.846;0,15;1,04;-0,10;-0,30;0,44;-0,16;0,00
4.878;0,15;1,04;-0,10;0,01;0,19;-0,55;0,00
4.896;0,17;1,10;-0,07;0,01;0,19;-0,55;0,00
4.946;0,15;1,12;-0,08;0,01;0,19;-0,55;0,00
4.948;0,15;1,12;-0,08;-0,09;-0,69;0,20;0,00
4.996;0,13;1,05;-0,07;-0,09;-0,69;0,20;0,00
5.017;0,13;1,05;-0,07;0,10;-0,72;0,09;0,00
5.046;0,14;1,07;-0,09;0,10;-0,72;0,09;0,00
5.088;0,14;1,07;-0,09;-0,48;-0,51;-0,23;0,00
5.096;0,13;1,08;-0,10;-0,48;-0,51;-0,23;0,00
5.146;0,12;1,11;-0,09;-0,48;-0,51;-0,23;0,00
5.159;0,12;1,11;-0,09;-0,17;0,09;0,10;0,00
5.203;0,10;1,08;-0,07;-0,17;0,09;0,10;0,00
5.227;0,10;1,08;-0,07;-0,05;0,00;0,01;0,00
5.246;0,06;1,08;-0,08;-0,05;0,00;0,01;0,00
5.296;0,07;1,10;-0,07;-0,05;0,00;0,01;0,00
5.299;0,07;1,10;-0,07;0,04;0,36;-0,07;0,00
5.346;0,09;1,09;-0,02;0,04;0,36;-0,07;0,00
5.368;0,09;1,09;-0,02;0,15;0,62;0,02;0,00
5.396;0,11;1,09;-0,02;0,15;0,62;0,02;0,00
5.438;0,11;1,09;-0,02;-0,24;0,16;0,02;0,00
5.446;0,13;1,07;-0,04;-0,24;0,16;0,02;0,00
5.496;0,14;1,08;-0,12;-0,24;0,16;0,02;0,00
5.508;0,14;1,08;-0,12;-0,17;0,31;0,08;0,00
5.546;0,11;1,04;-0,26;-0,17;0,31;0,08;0,00
5.589;0,11;1,04;-0,26;0,07;1,25;-0,24;0,00
