time;x;y;z;gx;gy;gz;barometer
0.008;-0,75;-0,05;0,58;-0,01;-0,00;-0,01;0,00
0.009;-0,74;-0,07;0,57;-0,01;-0,00;-0,01;0,00
0.01;-0,74;-0,07;0,57;-0,00;0,00;-0,01;0,00
0.059;-0,75;-0,07;0,57;-0,00;0,00;-0,01;0,00
0.075;-0,75;-0,07;0,57;0,01;0,00;0,01;0,00
0.103;-0,75;-0,05;0,58;0,01;0,00;0,01;0,00
0.149;-0,75;-0,05;0,58;0,02;0,00;0,01;0,00
0.151;-0,74;-0,06;0,57;0,02;0,00;0,01;0,00
0.199;-0,75;-0,05;0,58;0,02;0,00;0,01;0,00
0.211;-0,75;-0,05;0,58;0,01;0,00;0,01;0,00
0.259;-0,74;-0,04;0,58;0,01;0,00;0,01;0,00
0.283;-0,74;-0,04;0,58;0,00;0,00;0,01;0,00
0.299;-0,74;-0,05;0,58;0,00;0,00;0,01;0,00
0.36;-0,75;-0,04;0,57;0,00;0,00;0,01;0,00
0.361;-0,75;-0,04;0,57;-0,00;0,00;0,01;0,00
0.399;-0,75;-0,05;0,57;-0,00;0,00;0,01;0,00
0.421;-0,75;-0,05;0,57;-0,01;0,00;-0,00;0,00
0.461;-0,75;-0,05;0,57;-0,01;0,00;-0,00;0,00
0.491;-0,75;-0,05;0,57;-0,01;-0,00;-0,02;0,00
0.499;-0,75;-0,05;0,58;-0,01;-0,00;-0,02;0,00
0.573;-0,74;-0,06;0,58;-0,01;-0,00;-0,02;0,00
0.575;-0,74;-0,06;0,58;-0,01;-0,00;-0,01;0,00
0.599;-0,75;-0,06;0,58;-0,01;-0,00;-0,01;0,00
0.641;-0,75;-0,06;0,58;-0,01;-0,00;-0,01;0,00
0.656;-0,75;-0,05;0,57;-0,01;-0,00;-0,01;0,00
0.699;-0,75;-0,06;0,58;-0,01;-0,00;-0,01;0,00
0.711;-0,75;-0,06;0,58;0,00;0,00;0,00;0,00
0.759;-0,75;-0,06;0,58;0,00;0,00;0,00;0,00
