time;exp1_acel;exp1_gir;exp2_acel;exp2_gir;exp3_acel;exp3_gir;exp4_acel;exp4_gir;exp5_acel;exp5_gir;exp6_acel;exp6_gir;;
0.008;0,90;0,01;0,98;0,06;0,96;0,01;0,94;0,00;0,96;0,03;0,96;0,00;;
0.009;0,90;0,01;0,97;0,06;0,96;0,00;0,94;0,07;0,96;0,03;0,96;0,00;;
0.01;0,90;0,01;0,97;0,08;0,95;0,00;0,94;0,07;0,96;0,03;0,97;0,00;;
0.059;0,90;0,01;0,97;0,08;0,96;0,00;0,94;0,06;0,96;0,03;0,96;0,00;;
0.075;0,90;0,00;0,97;0,05;0,96;0,00;0,93;0,06;0,96;0,03;0,96;0,00;;
0.103;0,90;0,00;0,99;0,05;0,95;0,00;0,93;0,01;0,96;0,10;0,96;0,00;;
0.149;0,91;0,00;0,99;0,01;0,95;0,00;0,95;0,01;0,96;0,10;0,96;0,01;;
0.151;0,91;0,01;0,98;0,01;0,96;0,00;0,93;0,01;0,97;0,10;0,95;0,01;;
0.199;0,90;0,01;0,99;0,01;0,95;0,00;0,93;0,04;0,95;0,10;0,97;0,01;;
0.211;0,90;0,01;0,99;0,06;0,95;0,00;0,94;0,04;0,95;0,12;0,97;0,01;;
0.259;0,90;0,01;0,97;0,06;0,96;0,00;0,94;0,04;0,95;0,12;0,95;0,01;;
0.283;0,90;0,01;0,97;0,09;0,96;0,01;0,95;0,04;0,95;0,12;0,95;0,00;;
0.299;0,89;0,01;0,98;0,09;0,96;0,01;0,95;0,04;0,95;0,12;0,97;0,00;;
0.36;0,90;0,01;0,98;0,09;0,96;0,01;0,95;0,01;0,95;0,12;0,97;0,01;;
0.361;0,90;0,01;0,98;0,08;0,95;0,01;0,95;0,01;0,95;0,01;0,95;0,01;;
0.399;0,90;0,01;0,97;0,08;0,95;0,01;0,95;0,02;0,95;0,01;0,96;0,01;;
0.421;0,90;0,02;0,97;0,05;0,95;0,00;0,95;0,02;0,95;0,01;0,96;0,01;;
0.461;0,91;0,02;0,97;0,05;0,95;0,00;0,95;0,07;0,97;0,01;0,97;0,01;;
0.491;0,91;0,02;0,97;0,05;0,95;0,00;0,95;0,07;0,97;0,06;0,97;0,01;;
0.499;0,91;0,04;0,97;0,01;0,96;0,00;0,95;0,07;0,96;0,06;0,95;0,01;;
0.573;0,91;0,04;0,98;0,01;0,96;0,00;0,95;0,09;0,96;0,06;0,97;0,01;;
0.575;0,91;0,06;0,98;0,06;0,96;0,00;0,94;0,09;0,96;0,06;0,97;0,01;;
0.599;0,91;0,06;0,98;0,06;0,96;0,02;0,94;0,09;0,96;0,06;0,96;0,01;;
0.641;0,91;0,09;0,98;0,05;0,95;0,02;0,95;0,09;0,96;0,03;0,96;0,00;;
0.656;0,91;0,09;0,98;0,05;0,95;0,05;0,95;0,09;0,96;0,03;0,96;0,00;;
0.699;0,92;0,09;0,98;0,05;0,95;0,05;0,95;0,10;0,96;0,03;0,96;0,01;;
0.711;0,92;0,15;0,98;0,06;0,96;0,05;0,96;0,10;0,96;0,03;0,95;0,01;;
0.759;0,92;0,15;0,97;0,06;0,96;0,10;0,96;0,16;0,96;0,04;0,97;0,01;;
0.781;0,92;0,24;0,97;0,17;0,96;0,10;0,95;0,16;0,96;0,04;0,97;0,00;;
0.799;0,92;0,24;0,97;0,17;0,96;0,15;0,95;0,24;0,96;0,09;0,97;0,00;;
0.857;0,92;0,24;0,97;0,17;0,96;0,15;0,96;0,24;0,96;0,09;0,97;0,01;;
0.858;0,92;0,35;0,97;0,34;0,96;0,15;0,96;0,24;0,97;0,09;0,95;0,01;;
0.899;0,93;0,35;0,98;0,34;0,96;0,23;0,96;0,36;0,97;0,12;0,96;0,01;;
0.921;0,93;0,49;0,98;0,56;0,96;0,23;0,96;0,36;0,96;0,12;0,96;0,01;;
0.961;0,92;0,49;0,97;0,56;0,96;0,34;0,96;0,58;0,96;0,10;0,96;0,01;;
0.991;0,92;0,61;0,97;0,75;0,96;0,34;0,96;0,58;0,96;0,10;0,96;0,01;;
1.0;0,92;0,61;0,96;0,75;0,96;0,40;0,96;0,58;0,96;0,06;0,97;0,01;;
1.057;0,92;0,61;0,98;0,75;0,96;0,40;0,96;0,76;0,95;0,06;0,97;0,01;;
1.072;0,92;0,71;0,98;0,88;0,96;0,40;0,96;0,76;0,96;0,06;0,96;0,01;;
1.099;0,91;0,71;0,98;0,88;0,96;0,40;0,96;0,91;0,96;0,02;0,96;0,01;;
1.131;0,91;0,73;0,98;0,88;0,97;0,40;0,95;0,91;0,96;0,02;0,96;0,01;;
1.149;0,91;0,73;1,00;0,88;0,97;0,39;0,95;0,98;0,96;0,01;0,96;0,01;;
1.2;0,91;0,73;1,02;0,88;0,97;0,39;0,95;0,98;0,96;0,01;0,96;0,08;;
1.202;0,91;0,57;1,02;0,75;0,98;0,39;0,98;0,98;0,95;0,01;0,96;0,08;;
1.261;0,92;0,57;1,04;0,75;0,98;0,34;0,98;0,90;0,95;0,02;0,97;0,08;;
1.271;0,92;0,15;1,04;0,47;1,00;0,34;0,99;0,90;0,98;0,02;0,97;0,22;;
1.299;0,92;0,15;1,16;0,47;1,00;0,19;0,99;0,61;0,98;0,14;1,00;0,22;;
1.341;0,92;0,70;1,16;0,32;1,02;0,19;1,06;0,61;1,00;0,14;1,00;0,22;;
1.35;0,90;0,70;1,22;0,32;1,02;0,55;1,19;0,61;1,00;0,63;1,03;0,22;;
1.399;0,86;0,70;1,32;0,32;1,20;0,55;1,19;0,07;1,05;0,63;1,03;1,42;;
1.411;0,86;1,89;1,32;1,75;1,18;0,55;1,25;0,07;1,03;0,63;0,96;1,42;;
1.462;0,68;1,89;1,25;1,75;1,18;2,42;1,25;1,58;1,03;2,25;0,88;1,42;;
1.483;0,68;3,71;1,25;3,71;0,95;2,42;1,16;1,58;0,78;2,25;0,88;2,68;;
1.499;0,11;3,71;1,14;3,71;0,95;4,82;1,16;3,63;0,78;4,14;0,61;2,68;;
1.549;0,42;3,71;0,56;3,71;0,70;4,82;0,99;3,63;0,48;4,14;0,61;3,97;;
1.552;0,42;5,56;0,56;6,12;0,56;4,82;0,48;3,63;0,17;4,14;0,24;3,97;;
1.599;1,05;5,56;0,53;6,12;0,56;7,07;0,48;5,70;0,17;5,69;0,20;3,97;;
1.622;1,05;5,84;0,53;7,28;1,37;7,07;0,36;5,70;0,56;5,69;0,20;5,24;;
1.649;1,11;5,84;0,97;7,28;1,37;7,55;0,36;7,61;0,56;6,50;0,83;5,24;;
1.691;1,11;5,92;0,97;7,31;1,48;7,55;1,19;7,61;1,22;6,50;0,83;6,13;;
1.699;1,42;5,92;1,19;7,31;1,48;7,62;1,68;7,61;1,22;6,57;1,12;6,13;;
1.749;1,56;5,92;1,64;7,31;1,96;7,62;1,68;8,39;1,56;6,57;1,12;6,23;;
1.761;1,56;6,02;1,64;7,39;2,17;7,62;2,13;8,39;1,70;6,57;1,44;6,23;;
1.799;1,75;6,02;2,00;7,39;2,17;7,69;2,13;8,47;1,70;6,66;1,60;6,23;;
1.839;1,75;6,08;2,00;7,47;2,42;7,69;2,55;8,47;1,93;6,66;1,60;6,32;;
1.853;1,82;6,08;2,20;7,47;2,42;7,76;2,55;8,53;1,93;6,72;1,82;6,32;;
1.906;1,91;6,08;2,37;7,47;2,44;7,76;2,70;8,53;2,04;6,72;1,82;6,39;;
1.911;1,91;6,11;2,37;7,53;2,46;7,76;2,80;8,53;2,12;6,72;1,97;6,39;;
1.949;1,89;6,11;2,39;7,53;2,46;7,75;2,80;8,55;2,12;6,76;2,00;6,39;;
1.991;1,89;6,07;2,39;7,53;2,39;7,75;2,74;8,55;2,11;6,76;2,00;6,43;;
2.0;1,85;6,07;2,34;7,53;2,39;7,66;2,74;8,51;2,11;6,72;1,99;6,43;;
2.049;1,72;6,07;2,34;7,47;2,13;7,66;2,54;8,51;2,02;6,72;1,99;6,41;;
2.052;1,72;5,99;2,25;7,47;2,13;7,53;2,34;8,51;2,02;6,64;1,95;6,41;;
2.1;1,62;5,99;1,99;7,47;1,76;7,53;2,34;8,38;1,93;6,64;1,95;6,32;;
